id,brand_name,presentation,dosage_raw,dci,labo_name,therapeutic_class,status,atc_code,price_ppv,price_hospital,toxicity_class,product_type,indications,is_psychoactive,contraindications,min_age,source_url
1,"A.V.T. , Comprimé effervescent",Boite de 20,0.5 G | 0.002 G | 0.02 G,Aide acétylsalicylique | Vitamine B1 | Vitamine C,LAPROPHAN,"Analgésique , antipyrétique",Commercialisé,N02BA01,19.1,12.0,,Médicament,,false,,,
2,"A.V.T. , Comprimé effervescent",Boîte de 10,500 MG | 0.02 G | 0.02 G,Acide acetylsalicylique | Vitamine C | Vitamine B1,LAPROPHAN,"Analgésique , antipyrétique",Commercialisé,N02BA51,10.7,6.7,,Médicament,,false,,,
3,"ABIP 15 MG, Comprimé pelliculé [P]",Boite de 30,15 MG,Aripiprazole,SUN PHARMACEUTICALS NORTH AFRICA S.A,Neuroleptique atypique,Commercialisé,N05AX12,372.0,247.0,A,,"L’aripiprazole est indiqué dans le traitement de la schizophrénie chez les adultes et les adolescents âgé de 15 ans ou plus. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d’épisodes maniaques chez l'adulte ayant présenté des épisodes à prédominance maniaque et pour qui les épisodes maniaques ont répondu à un traitement par l’aripiprazole. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus pour une durée allant jusqu’à 12 semaines.
Traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus",true,,,
4,"ABIRANAT 250 MG, Comprimé",Boite d'un flacon de 120,250 MG,Abiraterone,AMANYS PHARMA (Ex SAHAM PHARMA),"Endocrinothérapie, autres antagonistes hormonaux et agents apparentés",Commercialisé,L02BX03,10411.0,10215.0,A,,"Indiqué en association avec la prednisone ou la prednisolone dans :
- le traitement du cancer métastatique de la prostate hormono-sensible (mHSPC) à haut risque
nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par
suppression androgénique (ADT) (voir rubrique 5.1)
- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les
hommes adultes asymptomatiques ou peu symptomatiques, après échec d’un traitement par
suppression androgénique et pour lesquels la chimiothérapie n’est pas encore cliniquement
indiquée (voir rubrique 5.1)
- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les
hommes adultes dont la maladie a progressé pendant ou après une chimiothérapie à base de
docétaxel.",false,,,
5,"ABIRATERONE GT 250 MG, Comprimé",Boite de 120,250 MG,Abiratérone,ATLAS PHARM,"Antinéoplasique, inhibiteur de la biosynthèse des androgènes (inhibiteur du CYP17A1)",Commercialisé,L02BX0,10411.0,10215.0,A,,"Indiqué en association avec la prednisone ou la prednisolone dans :
- le traitement du cancer métastatique de la prostate hormono-sensible (mHSPC) à haut risque nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par suppression androgénique (ADT).

- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les hommes adultes asymptomatiques ou peu symptomatiques, après échec d’un traitement par suppression androgénique et pour lesquels la chimiothérapie n’est pas encore cliniquement indiquée.

- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les hommes adultes dont la maladie a progressé pendant ou après une chimiothérapie à base de docétaxel.",false,,,
6,"ABSTRAL 100 µG, Comprimé sublingual [P] [SS]",Boite de 10,100 µG,Fentanyl,SOTHEMA,Antalgiques opioïdes,Commercialisé,N02AB03,876.0,582.0,B,Médicament,Traitement des accès douloureux paroxystiques chez les patients adultes utilisant des morphiniques pour traiter les douleurs chroniques d’origine cancéreuse. L’accès douloureux paroxystique est une exacerbation passagère d’une douleur chronique par ailleurs contrôlée par un traitement de fond.,true,"• Hypersensibilité à la substance active ou à l’un des excipients mentionnés à la rubrique composition.
• Patients non traités par un traitement de fond morphinique, en raison d’un risque accru de dépression respiratoire.
• Dépression respiratoire sévère ou pathologies pulmonaires obstructives sévères.
• Traitement de la douleur aiguë autre que les accès douloureux paroxystiques.",,
7,"ABSTRAL 200 µG, Comprimé sublingual [P] [SS]",Boite de 10,200 µG,Fentanyl,SOTHEMA,Antalgiques opioïdes,Commercialisé,N02AB03,876.0,582.0,B,Médicament,"Chez l’adulte
DUROGESIC est indiqué dans le traitement des douleurs chroniques sévères qui nécessitent une administration continue au long cours d’opioïdes.

Chez l’enfant
Traitement au long cours des douleurs chroniques sévères chez les enfants à partir de 2 ans recevant un traitement par opioïdes.",true,,,
8,"ABSTRAL 400 µG, Comprimé sublingual [P][SS]",Boite de 10,400 µG,Fentanyl,SOTHEMA,Antalgiques opioïdes,Commercialisé,N02AB03,876.0,582.0,B,Médicament,Traitement des accès douloureux paroxystiques chez les patients adultes utilisant des morphiniques pour traiter les douleurs chroniques d’origine cancéreuse. L’accès douloureux paroxystique est une exacerbation passagère d’une douleur chronique par ailleurs contrôlée par un traitement de fond.,true,"• Hypersensibilité à la substance active ou à l’un des excipients mentionnés à la rubrique composition.
• Patients non traités par un traitement de fond morphinique, en raison d’un risque accru de dépression respiratoire.
• Dépression respiratoire sévère ou pathologies pulmonaires obstructives sévères.
• Traitement de la douleur aiguë autre que les accès douloureux paroxystiques.",,
9,"ACDigest, Gélule",Blister de 30,,Argile | Charbon végétal,NON RENSEIGNÉ,,Commercialisé,,,,,Complément alimentaire,Lourdeur et ballonement,false,,,
10,"ACERUMEN, Flacon unidose",10 flacons,,"Tensioactifs doux (sodium acylsarcosinate et sucrose ester), agent humectant, colorant d'origine végétale, excipients qsp 100 %. Formule colorée sans conservateur, d'origine naturelle.",ZENITH PHARMA,,Commercialisé,,,,,Dispositif médical,"A-Cerumen est une solution douce d'hygiène auriculaire à base d'agents tensioactifs conseillée chez l'enfant à partir de 6 mois et l'adulte :
pour dissoudre les bouchons de cérumen ;
en usage régulier, pour faciliter l'élimination du cérumen et prévenir la formation des bouchons.
A-Cerumen va permettre d'humidifier puis de dissoudre les bouchons de cérumen (cérumen asséché et compacté). Une fois ce cérumen éliminé, le cérumen servant à la protection et à la lubrification va pouvoir être de nouveau sécrété afin de jouer son rôle.",false,,,
11,"ACETHIO 500 MG / 2 MG, Comprimé",Boite de 20,500 MG | 2 MG,Paracetamol | Thiocolchicoside,SYNTHEMEDIC,"Antalgique, antipyrétique, décontracturant et myorelaxant",Commercialisé,M03,34.6,21.6,A,Médicament,Traitement d'appoint des contractures musculaires douloureuses en rhumatologie.,false,,,
12,"ACFOL 5 MG, Comprimé",Boite de 28,5 MG,Acide folique,VERSALYA SA,Antianémique,Commercialisé,B03BB01,24.5,15.3,,Médicament,"Prévention et traitement de carence en acide folique chez les femmes enceintes pour la prévention d’anomalies du tube neural (spina bifida, anencéphalie, encéphalocèle) et autres anomalies congénitales, spécialement chez les femmes ayant eu un enfant ou un fœtus porteur de ces anomalies du tube neural.

Traitement de la carence en acide folique associée à des affections telles : anémies mégaloblastiques, alcoolisme, syndrome de malabsorption.",false,,,
13,"ACICLOVIR ARWA MEDIC 250 MG, Poudre pour solution pour perfusion IV en flacon de 10 ML",Boite de 5 flacons de 10 ML,250 MG,Aciclovir,ARWA MEDIC,Antiviral,Commercialisé,J05AB01,586.0,389.0,A,,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).

CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",false,,,
14,"ACICLOVIR ISIO 250 MG, Poudre pour solution injectable",Boite de 5 flacons,250 MG,Aciclovir,ISIO LABORATOIRE,Antiviral,Commercialisé,J05AB01,450.0,299.0,A,,"CHEZ LE SUJET IMMUNODÉPRIMÉ
- Infections à virus Varicelle Zona (VZV),
- Infection à virus Herpes Simplex (HSV).

CHEZ LE SUJET IMMUNOCOMPTENT
Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,
- Varicelle du nouveau-né,
- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,
- Formes graves de varicelle chez l'enfant de moins de 1 an,
- Varicelle compliquée, en particulier de pneumopathie varicelleuse,
Infections à HSV
- Primo-infection génitale herpétique sévère,
- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,
- Traitement du syndrome de Kaposi Juliusberg,
- Traitement de la méningo-encéphalite herpétique.",false,,,
